ope6_id,name,city,state,zip,college_url,ownership,locale,carnegie_basic,acceptance_rate,sat_25,sat_75,sat_math_25,sat_math_75,sat_cr_25,sat_cr_75,sat_avg,sat_range,act_25,act_75,act_mid,act_range,enrollment,retention_rate,student_faculty_ratio,pct_men,pct_women,pct_white,pct_black,pct_hispanic,pct_asian,pct_two_or_more,tuition_in_state,tuition_out_state,net_price,cost_attendance,median_debt,pell_rate,loan_rate,grad_rate,earnings_6yr,earnings_8yr,earnings_10yr
003110,Otterbein University,Westerville,OH,43081,https://www.otterbein.edu/,Private,Suburb,19,83.3,,,,,,,1220,,23,28,23,23-28,2055,82.4,12,39.5,60.5,69.5,11.1,6.0,3.8,5.5,34899,34899,22140,47865,26000,29.1,83.0,69.3,37200,50652,53313
001102,Ouachita Baptist University,Arkadelphia,AR,71998-0001,obu.edu/,Private,Town,21,68.5,1060,1290,530,630,530,660,1212,1060-1290,21,28,,21-28,1612,82.7,12,43.4,56.6,81.6,5.8,6.0,0.8,3.5,32480,32480,22355,45132,21050,22.6,48.5,67.9,34600,47024,51673
003598,Our Lady of the Lake University,San Antonio,TX,78207-4689,https://www.ollusa.edu/,Private,City,17,,,,,,,,,,,,19,,1110,58.3,11,33.1,66.9,7.8,6.9,74.3,0.4,0.0,31728,31728,17760,42137,24999,57.5,64.6,40.9,35500,45657,48675
005753,Owens Community College,Perrysburg,OH,43551,https://www.owens.edu/,Public,Suburb,6,,,,,,,,,,,,,,4184,,14,37.5,62.5,70.0,11.4,11.0,1.0,4.0,5750,10262,10202,14019,16667,22.4,25.2,,29200,35606,37275
012842,Oxnard College,Oxnard,CA,93033-6699,www.oxnardcollege.edu/,Public,City,1,,,,,,,,,,,,,,6059,,29,47.3,52.7,12.6,1.8,75.3,5.2,3.2,1416,8179,659,9317,,35.5,0.9,,25800,38063,41393
022027,Ozark Christian College,Joplin,MO,64801,www.occ.edu/,Private,City,24,98.2,,,,,,,,,,,,,612,77.1,13,53.1,46.9,83.2,1.6,5.6,1.3,3.9,15550,15550,17931,25475,16772,38.5,55.8,60.0,27000,35679,41297
030830,Ozarks Technical Community College,Springfield,MO,65802,www.otc.edu/,Public,City,7,,,,,,,,,,,,,,8194,,16,41.8,58.2,79.7,3.1,7.8,1.7,6.1,4184,6872,7340,12540,10453,37.1,20.9,31.2,26900,33954,36455
002791,Pace University,New York,NY,10038-1598,www.pace.edu/,Private,City,17,77.1,1130,1328,550,660,580,668,1232,1130-1328,24,29,26,24-29,7725,76.7,16,33.7,66.3,45.9,11.3,23.0,7.7,5.1,51424,51424,31046,68092,23250,27.1,46.4,61.4,47400,61062,70378
042513,Pacific Bible College,Medford,OR,97501,pacificbible.edu/,Private,City,13,92.9,,,,,,,,,,,,,44,,4,54.5,45.5,88.6,2.3,0.0,0.0,9.1,6555,6555,,,,30.8,0.0,,,,
032993,Pacific College,Costa Mesa,CA,92626-3402,https://www.pacific-college.edu/,For-Profit,City,26,50.0,,,,,,,,,,,,,285,,7,13.0,87.0,9.1,8.4,49.8,16.8,12.6,,,21941,,22469,50.8,72.4,75.6,47200,67912,70064
034383,Pacific Islands University,Mangilao,GU,96913-5917,www.piu.edu/,Private,Suburb,21,39.4,,,,,,,,,,,,,55,100.0,15,32.7,67.3,5.5,0.0,1.8,0.0,3.6,7203,7203,6746,12823,,33.3,5.8,,,,20902
003785,Pacific Lutheran University,Tacoma,WA,98447-0003,www.plu.edu/,Private,Suburb,19,80.5,988,1258,473,628,515,630,1152,988-1258,21,27,25,21-27,2350,79.4,12,36.2,63.8,45.9,4.9,18.8,11.4,11.3,50964,50964,21370,62921,22578,32.8,44.0,71.4,39200,60142,66990
